MEM, CPU
7.44%, 0.65%
7.44%, 0.65%
7.44%, 0.65%
7.44%, 0.65%
7.44%, 0.65%
7.44%, 0.65%
7.44%, 0.65%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.78%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.72%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.67%, 0.82%
7.67%, 0.82%
7.67%, 0.82%
7.44%, 0.82%
7.67%, 0.82%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.84%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.77%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.79%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.97%
7.44%, 0.89%
7.44%, 0.89%
7.44%, 0.89%
7.67%, 0.89%
7.67%, 0.89%
7.67%, 0.89%
7.67%, 0.89%
7.44%, 0.89%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.82%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 0.91%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 1.00%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.09%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.16%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.22%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.12%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 1.03%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.95%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.87%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.88%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.81%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.83%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.92%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.85%
7.44%, 0.86%
7.44%, 0.86%
7.44%, 0.86%
7.44%, 0.86%
