MEM, CPU
7.44%, 0.54%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.58%
7.44%, 0.53%
7.44%, 0.53%
7.44%, 0.53%
7.44%, 0.53%
7.44%, 0.53%
7.44%, 0.53%
7.44%, 0.53%
7.67%, 0.53%
7.67%, 0.57%
7.67%, 0.57%
7.67%, 0.57%
7.67%, 0.57%
7.67%, 0.57%
7.67%, 0.57%
7.67%, 0.57%
7.67%, 0.57%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.68%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.67%, 0.66%
7.67%, 0.66%
7.67%, 0.66%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.69%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.63%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.66%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.61%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.80%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.98%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 0.90%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
7.44%, 1.07%
